job_id,title,employer,sector,source,salary_min,salary_max,location,zip,remote,posted_date,url
5428706714,"Youth Development Specialist - Relocation to Hershey, PA Required",Milton Hershey School,private,adzuna,61609.66,61609.66,"Essex Junction, Chittenden County",05843,False,2025-10-03T01:17:29Z,https://www.adzuna.com/land/ad/5428706714?se=RJhlZyPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=904A1F0B442B133AC1B92A936527333FB0DFE9E9
5562444734,Locum Tenens Family Practice Physician Is Wanted in VA,Weatherby Healthcare,private,adzuna,72102.33,72102.33,"Bolton Valley, Chittenden County",05843,False,2026-01-01T05:20:51Z,https://www.adzuna.com/land/ad/5562444734?se=RJhlZyPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=E35457D4703FEBC98B7458F56F69F0A144F0674B
5562517988,Entry Level Retail Merchandiser (Get Paid Next Day!),Spar Group,private,adzuna,61139.48,61139.48,"Lancaster, Coos County",05843,False,2026-01-01T06:03:36Z,https://www.adzuna.com/land/ad/5562517988?se=RJhlZyPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=2DD26A5AE142DBD517AE77F7138726D886668131
5562517908,Entry Level Retail Merchandiser (Create Your Own Schedule),Spar Group,private,adzuna,40317.31,40317.31,"Jay, Orleans County",05843,False,2026-01-01T06:03:36Z,https://www.adzuna.com/land/ad/5562517908?se=RJhlZyPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=46898BAA309D64064F6C5E200B7C8F64E8C3D3FF
5525203043,Traveling Retail Merchandiser,SAS Retail Services,private,adzuna,33268.55,33268.55,"Lake Iroquois, Chittenden County",05843,False,2025-12-02T22:15:37Z,https://www.adzuna.com/land/ad/5525203043?se=RJhlZyPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=7EAC5C2CBE2A409FC89EE677E16543C5DFDCD106
5404276092,Curriculum and Instruction Specialist,"ChanceLight Behavioral Health, Therapy, & Education",private,adzuna,51826.14,51826.14,"Jonesville, Chittenden County",05843,False,2025-09-17T20:26:28Z,https://www.adzuna.com/land/ad/5404276092?se=RJhlZyPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=9E9D03AF494E7F0078F74A73F129BB51C213D4FD
5404276067,Curriculum and Instruction Specialist,"ChanceLight Behavioral Health, Therapy, & Education",private,adzuna,52366.79,52366.79,"Branch, Lamoille County",05843,False,2025-09-17T20:26:28Z,https://www.adzuna.com/land/ad/5404276067?se=RJhlZyPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=54190122250BD36A23B823127D0F2C22C243BAB9
5404275975,Curriculum and Instruction Specialist,"ChanceLight Behavioral Health, Therapy, & Education",private,adzuna,52514.97,52514.97,"Cambridge, Chittenden County",05843,False,2025-09-17T20:26:24Z,https://www.adzuna.com/land/ad/5404275975?se=RJhlZyPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=ED428F7BECF2669D854086B69B59FFB548698F06
5552758862,Behavior Intervention Specialist 1:1,"ChanceLight Behavioral Health, Therapy, & Education",private,adzuna,45684.44,45684.44,"Williamstown, Orange County",05843,False,2025-12-23T01:03:33Z,https://www.adzuna.com/land/ad/5552758862?se=RJhlZyPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=4ECBD54E1D2086BAE6F524E8DB603A018413FD4E
5542206026,Dental Treatment Coordinator,Bedi Dental Group,private,adzuna,60000,90000,"Camp Johnson, Chittenden County",05843,False,2025-12-14T14:27:18Z,https://www.adzuna.com/details/5542206026?utm_medium=api&utm_source=516145e7
3545664847,Manager in Training,Domino's,private,adzuna,49359.7,49359.7,"Barre Junction, Washington County",05843,False,2022-10-01T15:27:03Z,https://www.adzuna.com/details/3545664847?utm_medium=api&utm_source=516145e7
5525202998,Traveling Retail Merchandiser,SAS Retail Services,private,adzuna,35020.16,35020.16,"Pinewood, Chittenden County",05843,False,2025-12-02T22:15:36Z,https://www.adzuna.com/land/ad/5525202998?se=RJhlZyPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=D41888636261C285A2FFE525927E59113874E3A4
5427240967,Retail Merchandiser Team Lead,SAS Retail Services,private,adzuna,43722.26,43722.26,"Shelburne, Chittenden County",05843,False,2025-10-02T13:11:47Z,https://www.adzuna.com/land/ad/5427240967?se=RJhlZyPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=D82C826B752E2A2C3D090C559E98A9DE0CEAE8B5
5404276036,Curriculum and Instruction Specialist,"ChanceLight Behavioral Health, Therapy, & Education",private,adzuna,50498.39,50498.39,"Mad River Glen, Washington County",05843,False,2025-09-17T20:26:27Z,https://www.adzuna.com/land/ad/5404276036?se=RJhlZyPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=AB67FB0ABAE6ABCBE0C9007EA7C587CF553D1644
5428711437,"Youth Development Specialist - Relocation to Hershey, PA Required",Milton Hershey School,private,adzuna,88299.08,88299.08,"Winooski, Chittenden County",05843,False,2025-10-03T01:19:23Z,https://www.adzuna.com/land/ad/5428711437?se=RJhlZyPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=62C043D0D45DE01787CC5EACD7A507822CF3F5BE
5503766930,Head of People,MVP Robotics,private,adzuna,137324.5,137324.5,"Bradford, Orange County",05843,False,2025-11-19T14:01:26Z,https://www.adzuna.com/details/5503766930?utm_medium=api&utm_source=516145e7
5569155072,[Direct Sales] Account Executive,Xplor,private,adzuna,106775.68,106775.68,"Barre, Washington County",05843,False,2026-01-05T19:26:30Z,https://www.adzuna.com/details/5569155072?utm_medium=api&utm_source=516145e7
5567011313,Newly-Licensed Ambitious Life & Health Agents,Munger Agency,private,adzuna,50000,200000,"Winooski, Chittenden County",05843,False,2026-01-04T10:54:38Z,https://www.adzuna.com/details/5567011313?utm_medium=api&utm_source=516145e7
5552758865,Behavior Intervention Specialist 1:1,"ChanceLight Behavioral Health, Therapy, & Education",private,adzuna,47425.36,47425.36,"Shelburne, Chittenden County",05843,False,2025-12-23T01:03:33Z,https://www.adzuna.com/land/ad/5552758865?se=bmO_aCPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=2FAC278EF7898F6E7920EE0D202D0736D49B3E39
5553975793,Feed Mill Quality & Compliance Manager,Gpac,private,adzuna,86816.46,86816.46,"Saint Albans, Franklin County",05843,False,2025-12-24T01:06:39Z,https://www.adzuna.com/details/5553975793?utm_medium=api&utm_source=516145e7
5552758781,Behavior Intervention Specialist 1:1,"ChanceLight Behavioral Health, Therapy, & Education",private,adzuna,44769.82,44769.82,"Barnet, Caledonia County",05843,False,2025-12-23T01:03:27Z,https://www.adzuna.com/land/ad/5552758781?se=bmO_aCPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=92A5BA91DE7D1171B73E683CD9B1BEC603D8B713
5543631251,Plumbing & HVAC Manager,Jay Peak Resort,private,adzuna,64929.27,64929.27,"Jay, Orleans County",05843,False,2025-12-15T19:35:48Z,https://www.adzuna.com/details/5543631251?utm_medium=api&utm_source=516145e7
5428711874,"Houseparents, Full-Time - Relocation to Hershey, PA Required",Milton Hershey School,private,adzuna,65152.25,65152.25,"Essex Junction, Chittenden County",05843,False,2025-10-03T01:19:35Z,https://www.adzuna.com/land/ad/5428711874?se=bmO_aCPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=4E4E341325A9162E8461F4D3C0B47D621222E914
5512340455,Overnight Valet Attendant ($300 Sign on Bonus) AC Burlington Hotel,Towne Park,private,adzuna,54918.04,54918.04,"Winooski, Chittenden County",05843,False,2025-11-25T06:03:40Z,https://www.adzuna.com/details/5512340455?utm_medium=api&utm_source=516145e7
5525202989,Traveling Retail Merchandiser,SAS Retail Services,private,adzuna,36530.59,36530.59,"Keeler Bay, Grand Isle County",05843,False,2025-12-02T22:15:36Z,https://www.adzuna.com/land/ad/5525202989?se=bmO_aCPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=78B0FF270B6FEDE5101686AF91DB25D0DEFA5C2D
5428711937,"Houseparents, Full-Time - Relocation to Hershey, PA Required",Milton Hershey School,private,adzuna,87507.55,87507.55,"Camp Johnson, Chittenden County",05843,False,2025-10-03T01:19:36Z,https://www.adzuna.com/land/ad/5428711937?se=bmO_aCPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=C77198AAA2388A2834F01C2905BD1357520AE6F7
5565438174,Automotive Technician – 4-Day Workweek with Relo Assistance to S. Burlington VT,Mechanics & Body Shops Marketplace,private,adzuna,60000,100000,"Queen Park, Chittenden County",05843,False,2026-01-02T18:48:12Z,https://www.adzuna.com/details/5565438174?utm_medium=api&utm_source=516145e7
5525203025,Retail Merchandiser & Display Installer,SAS Retail Services,private,adzuna,46639.9,46639.9,"Littleton, Grafton County",05843,False,2025-12-02T22:15:37Z,https://www.adzuna.com/land/ad/5525203025?se=bmO_aCPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=5A73317444B0FA9BA895467D4B0318B1A68240BF
5565342670,Travel Registered Nurse ER Job,TLC Healthforce,private,adzuna,81693.99,81693.99,"Burlington, Chittenden County",05843,False,2026-01-02T16:07:48Z,https://www.adzuna.com/details/5565342670?utm_medium=api&utm_source=516145e7
5427240998,Retail Stocking/Shelving Merchandiser,SAS Retail Services,private,adzuna,41575.42,41575.42,"Queen Park, Chittenden County",05843,False,2025-10-02T13:11:48Z,https://www.adzuna.com/land/ad/5427240998?se=bmO_aCPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=78C1091B6B01A9E3267683EFFD850424A05673FC
5552758759,Behavior Intervention Specialist 1:1,"ChanceLight Behavioral Health, Therapy, & Education",private,adzuna,44050.31,44050.31,"Grand Isle, Grand Isle County",05843,False,2025-12-23T01:03:23Z,https://www.adzuna.com/land/ad/5552758759?se=bmO_aCPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=12DAEF5104F34C895E508279CE1A8EE7B69A49C3
5552758784,Behavior Intervention Specialist 1:1,"ChanceLight Behavioral Health, Therapy, & Education",private,adzuna,46509.41,46509.41,"Lake Iroquois, Chittenden County",05843,False,2025-12-23T01:03:27Z,https://www.adzuna.com/land/ad/5552758784?se=bmO_aCPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=A25D9122C6C3080CE354E9AED6B351D09FC36EC6
5428713453,"Residential Youth Caregiver - Relocation to Hershey, PA Required",Milton Hershey School,private,adzuna,65463.04,65463.04,"Queen Park, Chittenden County",05843,False,2025-10-03T01:20:00Z,https://www.adzuna.com/land/ad/5428713453?se=bmO_aCPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=B389D37439C0AB02D8B54A061A559CF41F5F4310
5404275962,Curriculum and Instruction Specialist,"ChanceLight Behavioral Health, Therapy, & Education",private,adzuna,54937.21,54937.21,"Monkton Ridge, Addison County",05843,False,2025-09-17T20:26:24Z,https://www.adzuna.com/land/ad/5404275962?se=bmO_aCPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=A6BEED1C904003367D36054057E89A4E167D858A
