skill_name,skill_type
Abstraction plus reference plus synthesis A++,Technology/Tool
AcaClone pDRAW32,Technology/Tool
AcaStat Software,Technology/Tool
Academic educational software,Technology/Tool
Acarda CallAssist,Technology/Tool
Acarda ForbiddenCalls,Technology/Tool
Acarda Sales Technologies Acarda Outbound,Technology/Tool
Accela KIVA DMS,Technology/Tool
Accela PERMITS Plus,Technology/Tool
Accela Tidemark Advantage,Technology/Tool
Accelerated life testing software,Technology/Tool
Accellos Real Dispatch,Technology/Tool
Accelrys Cerius2,Technology/Tool
Accelrys DeCipher,Technology/Tool
Accelrys FELIX,Technology/Tool
Accelrys Insight II,Technology/Tool
Accelrys Materials Studio,Technology/Tool
Accelrys Pipeline Pilot,Technology/Tool
Accelrys QAUNTA,Technology/Tool
Access Software AIRPAX,Technology/Tool
Access management software,Technology/Tool
AccessData FTK,Technology/Tool
Acclaim Legal Acclaim DepoManage,Technology/Tool
Account management software,Technology/Tool
AccountMate Software AccountMate,Technology/Tool
Accountants Templates JAZZ-It!,Technology/Tool
AccountantsWorld Payroll Relief,Technology/Tool
Accounting compliance software,Technology/Tool
Accounting fraud detection software,Technology/Tool
Accounting software,Technology/Tool
Accounts payable software,Technology/Tool
Accounts receivable software,Technology/Tool
Accounts receivables system software,Technology/Tool
Accra Med Software Filopto,Technology/Tool
AccuWeather Galileo,Technology/Tool
Accuity EPICWare,Technology/Tool
Acculaw Court Reporters Billing Scheduling Job Management System ABSMS,Technology/Tool
Accurate NXG,Technology/Tool
Accuship Star System,Technology/Tool
Accutech Systems Corporation AccuFarm-MGR,Technology/Tool
Accvision ABMIS,Technology/Tool
AceTools.biz Ace Translator,Technology/Tool
AcmeStudio,Technology/Tool
AcornSystems Corporate Performance Management,Technology/Tool
AcorynSystems Activity Based Costing/Management ABC/M,Technology/Tool
Acoustica Mixcraft,Technology/Tool
Acrendo A.I.med,Technology/Tool
Acrendo Medical Software Family Practice EMR,Technology/Tool
Acrendo Medical Software Ob/Gyn EMR,Technology/Tool
Acresso InstallAnywhere,Technology/Tool
Acronis Recovery Expert,Technology/Tool
Act!,Technology/Tool
Act-3D Quest3D,Technology/Tool
Actano Rplan,Technology/Tool
Actimize Brokerage Compliance Solutions,Technology/Tool
ActionWare,Technology/Tool
Activant Solutions Activant Prophet 21,Technology/Tool
Active Data Online WebChat,Technology/Tool
Active Network EventRegister,Technology/Tool
Active directory software,Technology/Tool
Actsoft Comet Tracker,Technology/Tool
Actuarial Systems Corporation AIM,Technology/Tool
Actuarial Systems Corporation Compliance Testing System,Technology/Tool
Actuarial Systems Corporation DV Direct,Technology/Tool
Actuarial Systems Corporation Defined Benefit System,Technology/Tool
Actuarial Systems Corporation Document Generation and Management System,Technology/Tool
Actuate BIRT,Technology/Tool
Actuate DocBook,Technology/Tool
Actuate Eclipse BIRT,Technology/Tool
AcuPartner Professional,Technology/Tool
AcuStaf,Technology/Tool
AcuityPro,Technology/Tool
AdRelevance,Technology/Tool
AdSense Tracker,Technology/Tool
AdTrack Customer Acquisition Management CAM,Technology/Tool
Ada,Technology/Tool
Adapt It,Technology/Tool
AdaptaSoft CyberPay,Technology/Tool
Adaptive Metadata Manager,Technology/Tool
Adaptive Planning,Technology/Tool
Adaptive conjoint analysis ACA software,Technology/Tool
Adaptive optics AO simulation software,Technology/Tool
Addison Health Systems WritePad EHR,Technology/Tool
Address Management System AMS,Technology/Tool
Addressing software,Technology/Tool
Ademero Content Central,Technology/Tool
Adept Scientific GRAMS,Technology/Tool
Adeptia ETL Suite,Technology/Tool
Aderant CompuLaw,Technology/Tool
Aderant legal software,Technology/Tool
Adexa Supply Chain Planning,Technology/Tool
Adexa eGPS Suite,Technology/Tool
Adlib Express,Technology/Tool
Adlib Information Systems Adlib Archive,Technology/Tool
"Admissions, discharge, and transfer ADT software",Technology/Tool
Adobe AIR,Technology/Tool
Adobe Acrobat,Technology/Tool
Adobe Acrobat Pro Extended,Technology/Tool
Adobe Acrobat Reader,Technology/Tool
Adobe Acrobat Writer,Technology/Tool
Adobe ActionScript,Technology/Tool
Adobe After Effects,Technology/Tool
Adobe Analytics,Technology/Tool
Adobe Audition,Technology/Tool
Adobe Authorware,Technology/Tool
Adobe Captivate,Technology/Tool
Adobe ColdFusion,Technology/Tool
Adobe Connect,Technology/Tool
Adobe Contribute,Technology/Tool
Adobe Creative Cloud software,Technology/Tool
Adobe Director,Technology/Tool
Adobe Distiller,Technology/Tool
Adobe Dreamweaver,Technology/Tool
Adobe Experience Manager (AEM),Technology/Tool
Adobe Flex,Technology/Tool
Adobe FrameMaker,Technology/Tool
Adobe FreeHand MX,Technology/Tool
Adobe Human Capital Application Solution Accelerator,Technology/Tool
Adobe Illustrator,Technology/Tool
Adobe ImageReady,Technology/Tool
Adobe InCopy,Technology/Tool
Adobe InDesign,Technology/Tool
Adobe LifeCycle ES,Technology/Tool
Adobe LifeCycle Enterprise Suite,Technology/Tool
Adobe LifeCycle Production Print ES3,Technology/Tool
Adobe LiveMotion,Technology/Tool
Adobe Macromedia HomeSite,Technology/Tool
Adobe PageMaker,Technology/Tool
Adobe Persuasion,Technology/Tool
Adobe Photoshop,Technology/Tool
Adobe Photoshop Lightroom,Technology/Tool
Adobe PostScript,Technology/Tool
Adobe Premiere Pro,Technology/Tool
Adobe Presenter,Technology/Tool
Adobe RoboHelp,Technology/Tool
Adobe XD,Technology/Tool
Adobe eLearning Suite,Technology/Tool
Adstra Systems ADSTRA Management,Technology/Tool
Adtec Agency Manager,Technology/Tool
Advance Ortho Systems Program Director,Technology/Tool
Advanced Chemistry Development ACD/1D nuclear magnetic resonance NMR processor,Technology/Tool
Advanced Chemistry Development Analytical Laboratory,Technology/Tool
Advanced Data Systems MedicsDocAssistant for Pediatrics,Technology/Tool
Advanced Data Systems MedicsRis,Technology/Tool
Advanced Dimensional Management 3D-GD&T,Technology/Tool
Advanced Graphics Technology ProCogo,Technology/Tool
Advanced Logic Technology WellCAD,Technology/Tool
Advanced Management Systems Software for Wineries,Technology/Tool
Advanced Micro Systems 1099-Etc,Technology/Tool
Advanced Portfolio Technologies Report Builder,Technology/Tool
Advanced Portfolio Technologies Simulator,Technology/Tool
Advanced Processing and Imaging OptiView ECM,Technology/Tool
Advanced Retail Management Systems Retail Pro,Technology/Tool
Advanced Technologies Class Act,Technology/Tool
Advanced Veterinary Services Ranch Vision,Technology/Tool
Advanced Visual Systems AVS/Express,Technology/Tool
